observation_date,MEHOINUSALA672N
1984-01-01,46660
1985-01-01,47790
1986-01-01,49070
1987-01-01,48960
1988-01-01,47720
1989-01-01,48780
1990-01-01,51050
1991-01-01,51340
1992-01-01,53080
1993-01-01,50340
1994-01-01,53410
1995-01-01,49870
1996-01-01,56640
1997-01-01,58450
1998-01-01,65470
1999-01-01,64120
2000-01-01,60570
2001-01-01,58790
2002-01-01,62100
2003-01-01,60270
2004-01-01,57810
2005-01-01,56980
2006-01-01,56570
2007-01-01,61350
2008-01-01,62350
2009-01-01,56280
2010-01-01,56840
2011-01-01,57360
2012-01-01,57430
2013-01-01,61770
2014-01-01,54420
2015-01-01,57330
2016-01-01,60290
2017-01-01,63820
2018-01-01,61420
2019-01-01,68110
2020-01-01,65600
2021-01-01,65360
2022-01-01,63870
2023-01-01,62230
2024-01-01,65560
