observation_date,MEHOINUSARA672N
1984-01-01,42250
1985-01-01,45490
1986-01-01,48040
1987-01-01,46710
1988-01-01,48260
1989-01-01,49120
1990-01-01,49800
1991-01-01,49420
1992-01-01,49120
1993-01-01,46240
1994-01-01,50210
1995-01-01,49530
1996-01-01,50700
1997-01-01,47880
1998-01-01,49950
1999-01-01,52500
2000-01-01,50780
2001-01-01,55750
2002-01-01,53490
2003-01-01,51770
2004-01-01,55210
2005-01-01,56230
2006-01-01,55240
2007-01-01,59290
2008-01-01,55500
2009-01-01,51430
2010-01-01,53580
2011-01-01,55620
2012-01-01,51550
2013-01-01,51400
2014-01-01,57820
2015-01-01,55130
2016-01-01,58610
2017-01-01,62420
2018-01-01,61230
2019-01-01,66100
2020-01-01,60900
2021-01-01,58310
2022-01-01,57540
2023-01-01,64880
2024-01-01,64840
