observation_date,MEHOINUSDEA672N
1984-01-01,69600
1985-01-01,59910
1986-01-01,65720
1987-01-01,72550
1988-01-01,72980
1989-01-01,73490
1990-01-01,67320
1991-01-01,68720
1992-01-01,73380
1993-01-01,72380
1994-01-01,70450
1995-01-01,67010
1996-01-01,73480
1997-01-01,78750
1998-01-01,74850
1999-01-01,82470
2000-01-01,86110
2001-01-01,82940
2002-01-01,82000
2003-01-01,79300
2004-01-01,75830
2005-01-01,78590
2006-01-01,78160
2007-01-01,79340
2008-01-01,71080
2009-01-01,73350
2010-01-01,76670
2011-01-01,73610
2012-01-01,64700
2013-01-01,70610
2014-01-01,74040
2015-01-01,74390
2016-01-01,74110
2017-01-01,81510
2018-01-01,79960
2019-01-01,89920
2020-01-01,83990
2021-01-01,78860
2022-01-01,86090
2023-01-01,88570
2024-01-01,85860
