observation_date,MEHOINUSMNA672N
1984-01-01,65870
1985-01-01,62190
1986-01-01,67820
1987-01-01,69670
1988-01-01,69590
1989-01-01,69180
1990-01-01,68770
1991-01-01,62170
1992-01-01,63720
1993-01-01,67600
1994-01-01,66080
1995-01-01,72780
1996-01-01,76620
1997-01-01,77890
1998-01-01,86520
1999-01-01,83200
2000-01-01,92760
2001-01-01,88090
2002-01-01,90210
2003-01-01,85460
2004-01-01,88550
2005-01-01,83160
2006-01-01,83790
2007-01-01,84380
2008-01-01,77000
2009-01-01,78950
2010-01-01,72650
2011-01-01,77870
2012-01-01,81640
2013-01-01,83970
2014-01-01,86550
2015-01-01,88530
2016-01-01,89650
2017-01-01,87800
2018-01-01,88330
2019-01-01,98680
2020-01-01,94460
2021-01-01,92360
2022-01-01,96350
2023-01-01,92680
2024-01-01,92350
