observation_date,MEHOINUSRIA672N
1984-01-01,58260
1985-01-01,64190
1986-01-01,68070
1987-01-01,70190
1988-01-01,71390
1989-01-01,69040
1990-01-01,69860
1991-01-01,65030
1992-01-01,62590
1993-01-01,67250
1994-01-01,62710
1995-01-01,67840
1996-01-01,69140
1997-01-01,63680
1998-01-01,73450
1999-01-01,75560
2000-01-01,72150
2001-01-01,76450
2002-01-01,70050
2003-01-01,72330
2004-01-01,75650
2005-01-01,75900
2006-01-01,80100
2007-01-01,78790
2008-01-01,74640
2009-01-01,72680
2010-01-01,71680
2011-01-01,66030
2012-01-01,74070
2013-01-01,73520
2014-01-01,75470
2015-01-01,71740
2016-01-01,78550
2017-01-01,82060
2018-01-01,76580
2019-01-01,85020
2020-01-01,96170
2021-01-01,86090
2022-01-01,85980
2023-01-01,83980
2024-01-01,92290
