observation_date,MEHOINUSSDA672N
1984-01-01,52320
1985-01-01,47290
1986-01-01,51030
1987-01-01,52470
1988-01-01,53330
1989-01-01,55250
1990-01-01,53700
1991-01-01,51960
1992-01-01,54000
1993-01-01,55670
1994-01-01,58390
1995-01-01,56750
1996-01-01,55190
1997-01-01,54340
1998-01-01,59190
1999-01-01,63370
2000-01-01,62370
2001-01-01,66330
2002-01-01,62550
2003-01-01,63940
2004-01-01,64880
2005-01-01,66190
2006-01-01,67710
2007-01-01,67460
2008-01-01,72340
2009-01-01,64500
2010-01-01,62970
2011-01-01,63600
2012-01-01,65290
2013-01-01,69720
2014-01-01,68280
2015-01-01,70930
2016-01-01,73350
2017-01-01,71410
2018-01-01,73130
2019-01-01,77870
2020-01-01,84190
2021-01-01,84840
2022-01-01,71620
2023-01-01,83860
2024-01-01,79850
