observation_date,MEHOINUSWIA672N
1984-01-01,55910
1985-01-01,60600
1986-01-01,67790
1987-01-01,65420
1988-01-01,70750
1989-01-01,66740
1990-01-01,67120
1991-01-01,65650
1992-01-01,68500
1993-01-01,63750
1994-01-01,69500
1995-01-01,78580
1996-01-01,74770
1997-01-01,72460
1998-01-01,74610
1999-01-01,80770
2000-01-01,77090
2001-01-01,75820
2002-01-01,75810
2003-01-01,74850
2004-01-01,72180
2005-01-01,68490
2006-01-01,77050
2007-01-01,74520
2008-01-01,71780
2009-01-01,72120
2010-01-01,69910
2011-01-01,70110
2012-01-01,70130
2013-01-01,67520
2014-01-01,74750
2015-01-01,71390
2016-01-01,76370
2017-01-01,79650
2018-01-01,77030
2019-01-01,81630
2020-01-01,80850
2021-01-01,80300
2022-01-01,78170
2023-01-01,81750
2024-01-01,82560
