observation_date,MEHOINUSWVA672N
1984-01-01,45400
1985-01-01,41670
1986-01-01,42230
1987-01-01,42690
1988-01-01,46300
1989-01-01,49680
1990-01-01,48380
1991-01-01,48810
1992-01-01,41690
1993-01-01,45000
1994-01-01,46280
1995-01-01,47730
1996-01-01,47190
1997-01-01,50300
1998-01-01,48210
1999-01-01,51820
2000-01-01,50290
2001-01-01,49620
2002-01-01,48490
2003-01-01,53000
2004-01-01,52670
2005-01-01,55900
2006-01-01,57270
2007-01-01,61170
2008-01-01,53260
2009-01-01,56990
2010-01-01,59400
2011-01-01,56320
2012-01-01,57540
2013-01-01,56220
2014-01-01,50910
2015-01-01,55160
2016-01-01,56630
2017-01-01,58920
2018-01-01,62200
2019-01-01,65090
2020-01-01,62340
2021-01-01,53770
2022-01-01,55920
2023-01-01,61970
2024-01-01,63150
