observation_date,MEHOINUSAKA672N
1984-01-01,87220
1985-01-01,90670
1986-01-01,80420
1987-01-01,82440
1988-01-01,79190
1989-01-01,82520
1990-01-01,85880
1991-01-01,85640
1992-01-01,85970
1993-01-01,86160
1994-01-01,89100
1995-01-01,92000
1996-01-01,98660
1997-01-01,87830
1998-01-01,91520
1999-01-01,90910
2000-01-01,90360
2001-01-01,95920
2002-01-01,87160
2003-01-01,83860
2004-01-01,86900
2005-01-01,85730
2006-01-01,84100
2007-01-01,91550
2008-01-01,89710
2009-01-01,86710
2010-01-01,80320
2011-01-01,77340
2012-01-01,84090
2013-01-01,94600
2014-01-01,87040
2015-01-01,96750
2016-01-01,96680
2017-01-01,97850
2018-01-01,84540
2019-01-01,95010
2020-01-01,89650
2021-01-01,93150
2022-01-01,95670
2023-01-01,100700
2024-01-01,91260
