observation_date,MEHOINUSHIA672N
1984-01-01,77840
1985-01-01,75500
1986-01-01,74380
1987-01-01,86880
1988-01-01,79000
1989-01-01,80290
1990-01-01,85060
1991-01-01,78550
1992-01-01,86610
1993-01-01,85620
1994-01-01,82990
1995-01-01,82210
1996-01-01,78080
1997-01-01,74910
1998-01-01,73710
1999-01-01,78720
2000-01-01,88130
2001-01-01,79320
2002-01-01,78120
2003-01-01,83860
2004-01-01,88770
2005-01-01,91400
2006-01-01,90140
2007-01-01,93050
2008-01-01,86250
2009-01-01,78330
2010-01-01,82670
2011-01-01,79520
2012-01-01,74340
2013-01-01,83850
2014-01-01,91670
2015-01-01,83100
2016-01-01,92090
2017-01-01,92340
2018-01-01,98520
2019-01-01,106700
2020-01-01,96950
2021-01-01,94370
2022-01-01,97010
2023-01-01,99880
2024-01-01,98240
