observation_date,MEHOINUSIDA672N
1984-01-01,56850
1985-01-01,54120
1986-01-01,53220
1987-01-01,51490
1988-01-01,56100
1989-01-01,56500
1990-01-01,55300
1991-01-01,55070
1992-01-01,56980
1993-01-01,62230
1994-01-01,61940
1995-01-01,62690
1996-01-01,64880
1997-01-01,61130
1998-01-01,66220
1999-01-01,63320
2000-01-01,64310
2001-01-01,63940
2002-01-01,62290
2003-01-01,68550
2004-01-01,70010
2005-01-01,67760
2006-01-01,68890
2007-01-01,71480
2008-01-01,66480
2009-01-01,65840
2010-01-01,65330
2011-01-01,63910
2012-01-01,63320
2013-01-01,63270
2014-01-01,68780
2015-01-01,66490
2016-01-01,72220
2017-01-01,74650
2018-01-01,72230
2019-01-01,79970
2020-01-01,80030
2021-01-01,88310
2022-01-01,77370
2023-01-01,75820
2024-01-01,81650
