observation_date,MEHOINUSINA672N
1984-01-01,61380
1985-01-01,59110
1986-01-01,58290
1987-01-01,55870
1988-01-01,62900
1989-01-01,59350
1990-01-01,58850
1991-01-01,57130
1992-01-01,58670
1993-01-01,59150
1994-01-01,54710
1995-01-01,64050
1996-01-01,65700
1997-01-01,71170
1998-01-01,71730
1999-01-01,72230
2000-01-01,69870
2001-01-01,67520
2002-01-01,67790
2003-01-01,68640
2004-01-01,66810
2005-01-01,65090
2006-01-01,67680
2007-01-01,68970
2008-01-01,65220
2009-01-01,62360
2010-01-01,64070
2011-01-01,59850
2012-01-01,60980
2013-01-01,64560
2014-01-01,61860
2015-01-01,66960
2016-01-01,71620
2017-01-01,73730
2018-01-01,73660
2019-01-01,80830
2020-01-01,80130
2021-01-01,80590
2022-01-01,74650
2023-01-01,78900
2024-01-01,76710
