observation_date,MEHOINUSNCA672N
1984-01-01,55440
1985-01-01,55920
1986-01-01,56070
1987-01-01,56460
1988-01-01,58410
1989-01-01,60520
1990-01-01,57540
1991-01-01,56630
1992-01-01,57110
1993-01-01,57840
1994-01-01,59140
1995-01-01,61350
1996-01-01,66550
1997-01-01,65590
1998-01-01,64700
1999-01-01,65890
2000-01-01,65510
2001-01-01,63810
2002-01-01,60310
2003-01-01,60310
2004-01-01,63510
2005-01-01,64510
2006-01-01,59320
2007-01-01,63240
2008-01-01,60180
2009-01-01,58990
2010-01-01,60860
2011-01-01,60880
2012-01-01,54900
2013-01-01,60490
2014-01-01,60210
2015-01-01,65430
2016-01-01,68640
2017-01-01,62170
2018-01-01,65640
2019-01-01,74120
2020-01-01,72480
2021-01-01,72210
2022-01-01,69370
2023-01-01,70390
2024-01-01,67220
