observation_date,MEHOINUSNEA672N
1984-01-01,57680
1985-01-01,56830
1986-01-01,55840
1987-01-01,57720
1988-01-01,60190
1989-01-01,60320
1990-01-01,60060
1991-01-01,62310
1992-01-01,61800
1993-01-01,62230
1994-01-01,62440
1995-01-01,63180
1996-01-01,63580
1997-01-01,63490
1998-01-01,65740
1999-01-01,68320
2000-01-01,71380
2001-01-01,72920
2002-01-01,70680
2003-01-01,71140
2004-01-01,69110
2005-01-01,73510
2006-01-01,71760
2007-01-01,71470
2008-01-01,71120
2009-01-01,69810
2010-01-01,72900
2011-01-01,74900
2012-01-01,68960
2013-01-01,75220
2014-01-01,73200
2015-01-01,77890
2016-01-01,75800
2017-01-01,74760
2018-01-01,83110
2019-01-01,88560
2020-01-01,86660
2021-01-01,89680
2022-01-01,83540
2023-01-01,91500
2024-01-01,86140
