observation_date,MEHOINUSPAA672N
1984-01-01,54840
1985-01-01,59640
1986-01-01,61060
1987-01-01,63070
1988-01-01,63980
1989-01-01,65750
1990-01-01,63390
1991-01-01,64040
1992-01-01,61460
1993-01-01,62200
1994-01-01,62980
1995-01-01,66240
1996-01-01,65230
1997-01-01,68660
1998-01-01,70440
1999-01-01,66780
2000-01-01,72110
2001-01-01,72730
2002-01-01,70190
2003-01-01,69460
2004-01-01,69610
2005-01-01,71020
2006-01-01,72260
2007-01-01,70400
2008-01-01,72060
2009-01-01,67810
2010-01-01,67090
2011-01-01,67210
2012-01-01,68580
2013-01-01,72000
2014-01-01,71010
2015-01-01,77780
2016-01-01,77850
2017-01-01,76890
2018-01-01,79360
2019-01-01,85540
2020-01-01,84910
2021-01-01,83380
2022-01-01,76970
2023-01-01,81880
2024-01-01,80060
