observation_date,MEHOINUSSCA672N
1984-01-01,54740
1985-01-01,52230
1986-01-01,56340
1987-01-01,62140
1988-01-01,61080
1989-01-01,54540
1990-01-01,62800
1991-01-01,57910
1992-01-01,56720
1993-01-01,52290
1994-01-01,58620
1995-01-01,55780
1996-01-01,64800
1997-01-01,62700
1998-01-01,60060
1999-01-01,64490
2000-01-01,64240
2001-01-01,63100
2002-01-01,62450
2003-01-01,62250
2004-01-01,61070
2005-01-01,61710
2006-01-01,59050
2007-01-01,64260
2008-01-01,59100
2009-01-01,57850
2010-01-01,57900
2011-01-01,53980
2012-01-01,58660
2013-01-01,56870
2014-01-01,57830
2015-01-01,59710
2016-01-01,69370
2017-01-01,68430
2018-01-01,70650
2019-01-01,75180
2020-01-01,72380
2021-01-01,71810
2022-01-01,65840
2023-01-01,70890
2024-01-01,76780
