observation_date,MEHOINUSTNA672N
1984-01-01,45240
1985-01-01,46350
1986-01-01,46820
1987-01-01,52540
1988-01-01,49890
1989-01-01,51820
1990-01-01,49370
1991-01-01,51570
1992-01-01,50010
1993-01-01,50380
1994-01-01,56250
1995-01-01,55670
1996-01-01,57550
1997-01-01,56060
1998-01-01,61550
1999-01-01,64600
2000-01-01,58300
2001-01-01,59830
2002-01-01,61160
2003-01-01,60710
2004-01-01,60090
2005-01-01,60440
2006-01-01,60660
2007-01-01,59870
2008-01-01,55660
2009-01-01,57030
2010-01-01,53580
2011-01-01,56940
2012-01-01,56810
2013-01-01,56600
2014-01-01,56270
2015-01-01,60960
2016-01-01,65550
2017-01-01,69390
2018-01-01,68950
2019-01-01,68630
2020-01-01,65940
2021-01-01,71370
2022-01-01,69700
2023-01-01,74580
2024-01-01,75860
